Ceramide,Prev.Threshold,RMSE,Rsquared,MAE
C16 ceramide in brain,0,1.17737756,0.131805774,0.876882628
C18 ceramide in brain,0,0.862306476,0.221523705,0.676165824
C20 ceramide in brain,95,0.540832651,0.112870239,0.386757349
C22:1 ceramide in brain,95,0.587117192,0.078452617,0.429627888
C22 ceramide in brain,0,0.524652804,0.128690412,0.417155804
C24:1 ceramide in brain,80,0.532859746,0.259094155,0.435614749
C24 ceramide in brain,20,0.567359652,0.124382662,0.446988263
C16 ceramide in liver,20,0.231180042,0.518472692,0.172725184
C18 ceramide in liver,0,0.326260867,0.371227657,0.260485268
C20 ceramide in liver,0,0.342028728,0.349300395,0.261473371
C22 ceramide in liver,95,0.29288433,0.587914326,0.246076753
C24 ceramide in liver,95,0.078627278,0.414756455,0.064514703