ID	BW_4w	AUC_4w	BW_11w	AUC_11w
8	28.3	27994	34.7	40522.5
9	30.8	4913	41.5	35122.5
10	29.4	22935	37.6	32137.5
11	33.4	31005	44.1	30697.5
12	29	29055	36	27930
13	27.7	11716	36.3	13132.5
14	27.2	9295	35.9	
15	29.7	9478	43.8	24345
16	29.6	13001	41.3	44017.5
17	28	22270	37.2	35287.5
32	29.9	24892.5	35.1	25410
33	28.5	4216	35.3	13223
34	32.2	14310	43.7	31327.5
35	28.7	2537	31.6	18097.5
36	29.5	16075	41	20340
37	27.7	5674	33.8	24690
38	27.1	7607	33.4	12671
39	30.8	9706	40.9	17092.5
40	31	12479	37.2	14929
41	23.8	9791	29.7	22785