ID	gluc	trig	chol	ins	lep	BW_fe	LW_fe	LWBW	FI(g/d)	BWgain	FE(g_eaten/g_gain)	LiverXN	PlasmaXN	Ptime	PC	Ssbef	Sshid	Ssaf	MuscleXN
1	201.394	87.179	208.527	2.917	14.633	20.6	1.5	7.281553398	2.711904762	21.9	10.40182648			60	0	14.45446369	18.42355134	17.96959157	
2	145.933	112.758	190.602	0.899	8.998	21.6	1.4	6.481481481	3.261904762	21	13.04761905			11	2	15.93156737	17.46644092	18.67328927	
3	148.584	138.45	164.903	0.743	7.763	11.3	1.1	9.734513274	2.944047619	10.9	22.68807339			54	1	14.9533077	19.53413473	18.25659904	
4	170.352	66.445	208.551	4.243	12.566	19.9	1.6	8.040201005	2.723809524	20.9	10.94736842			49	2	16.53898687	17.16566922	16.20427752	
5	160.385	77.389	176.67	2.132	10.821	16.3	1.1	6.748466258	2.517857143	17.2	12.29651163			10	4	13.92265016	18.99017326	15.64532902	
6	99.387	114.758	94.771	3.952	11.935	16.1	1	6.211180124	2.742857143	16.4	14.04878049			39	1	19.66621911	21.54766637	20.81753376	
7	161.672	81.301	206.031	9.853	12.851	23.1	1.3	5.627705628	2.760714286	24.3	9.543209877			60	0	12.56148207	17.16517983	18.39213353	
8	125.35	81.263	143.649	0.464	5.663	8.9	0.9	10.11235955	2.30952381	10.8	17.96296296			14	2	14.8471624	21.89947323	15.93311849	
9	195.107	78.657	182.59	1.134	14.892	17.4	1	5.747126437	2.74047619	18.6	12.37634409			46	1	13.90782391	18.49584639	16.17550369	
10	147.924	79.742	162.882	1.201	9.777	13.4	0.9	6.71641791	2.451190476	13.7	15.02919708			58	1	16.68165376	19.31269121	19.74678183	
11	194.111	73.023	177.835	3.749	17.331	17.5	1.3	7.428571429	2.826190476	18.1	13.1160221			23	2	11.47399555	18.39503872	19.09369612	
12	148.315	58.768	169.158	1.166	9.965	13.3	0.9	6.766917293	2.332142857	13.75	14.24727273			18	1	17.35096175	21.44549158	21.32294555	
13	193.127	93.574	172.629	0.344	10.648	13	0.9	6.923076923	2.272619048	13.5	14.14074074	0.517134168	7.4	38	1	17.50961789	19.99054883	21.71686188	8.163812044
14	163.215	82.193	169.966	0.401	6.634	12	0.8	6.666666667	2.304761905	12.2	15.86885246	0.235246955	6.9	9	5	18.23093359	19.1910274	18.14688591	5.184770926
15	145.071	110.76	169.325	1.164	5.785	17.2	0.9	5.23255814	2.802380952	17.1	13.76608187	0.517226824	5.7	30	2	18.20237591	19.90181846	21.01623492	3.017529246
16	176.146	88.066	176.29	1.342	9.474	15	1.1	7.333333333	2.473809524	15.7	13.23566879	0.938331864	8.3	18	3	18.97885462	16.75263951	13.87380891	9.241669753
17	160.754	84.629	196.902	0.524	8.725	13	2	15.38461538	2.586904762	12.9	16.84496124	0.164873295	15.5	12	4	16.58063252	19.8123025	18.71197665	6.792393458
18	160.184	65.529	209.739	4.78	11.682	21.3	1	4.694835681	2.785714286	22.8	10.26315789	0.11604004	4.8	7	3	15.83948937	19.09529682	18.89066698	2.892746688
19	169.871	75.009	160.885	2.6	8.067	11.5	1.4	12.17391304	2.139880952	12.5	14.38	0.620585686	12.8	35	2	14.50789687	16.62075274	15.35636571	2.60542825
20	189.469	78.713	239.195	6.293	14.168	19.3	1.2	6.21761658	3.589285714	20.4	14.77941176	0.298759512	6.5	8	1	14.47897714	17.70002059	18.05813974	26.86851488
21	195.062	87.686	222.553	2.629	15.406	19.2	1.2	6.25	2.614285714	20.8	10.55769231	0.627088477	6.9	6	1	16.54632439	18.66652299	16.19211669	23.34803408
22	181.37	71.319	233.251	2.453	14.092	19.5	0.8	4.102564103	2.672619048	19.9	11.28140704	0.696742578	4.8	15	1	15.5497251	18.55275262	17.64975905	7.223588792
23	95.237	76.868	179.713	1.81	6.007	10	1.5	15	2.146428571	10.5	17.17142857	0.609582946	15.6	30	0	15.36500701	21.10474577	18.59948653	13.15791849
24	200.006	53.655	224.408	7.014	16.387	22.3	0.9	4.035874439	2.732142857	24.2	9.483471074	0.265662812	4.3	35	1	16.44818965	16.47453197	17.53339476	0
25	153.92	109.687	194.596	0.54	6.956	11.4	0.9	7.894736842	2.338095238	12	16.36666667	1.737247629	30.6	6	3	17.27840469	21.06615712	20.64372293	62.79042697
26	163.562	110.561	200.301	2.318	14.53	19	1.3	6.842105263	2.791666667	20.1	11.66666667	2.031586732	85.4	6	3	16.96924878	18.73294421	20.04750752	31.92992313
27	235.645	87.32	204.533	7.577	10.569	21.2	1.5	7.075471698	2.677380952	20.4	11.0245098	2.963101304	63.5	13	1	18.00477049	18.62526666	33.48224153	33.55992408
28	137.454	87.461	163.072	1.753	10.627	19.2	1.2	6.25	3.178571429	19.9	13.41708543	1.747447287	58.3	12	1	15.39785029	17.03044502	16.38345774	45.14363602
29	218.195	95.123	193.55	2.179	13.387	17.6	1.3	7.386363636	2.526190476	17.6	12.05681818	21.98346678	69.4	35	1	16.40986045	13.86987127	8.439786902	23.20659941
30	143.371	82.559	168.136	1.223	8.944	21.6	1.2	5.555555556	3.030952381	22.2	11.46846847	1.068633869	36.6	11	3	20.24447039	19.30611153	16.2381778	20.93067377
31	92.832	95.982	122.467	0.184	3.229	8.3	0.9	10.84337349	2.272619048	9.7	19.68041237	1.093014806	16.7	15	2	14.42171052	11.71026017	14.71716537	5.924106197
32	130.485	61.346	173.532	0.246	7.878	10.5	0.9	8.571428571	2.347380952	10.8	18.25740741	3.503582506	37	39	1	18.67240008	13.60426843	13.00185752	232.6695001
33	115.652	72.389	148.832	0.166	3.666	8.8	1	11.36363636	2.83452381	10.25	23.22926829	15.08338857	31.6	11	2	19.14580102	20.31111936	21.19439871	13.57779114
34	77.634	56.289	195.784	2.412	5.404	17.6	1.1	6.25	2.326190476	17.8	10.97752809	1.066368189	94.8	20	1	14.35042789	12.21180126	11.30289176	138.8974401
35	84.711	75.826	140.083	0.409	3.536	6	1	16.66666667	2.601190476	6.4	34.140625	5.056106058	31.2	9	2	16.99873913	17.69614952	19.04777326	620.233355
36	152.376	78.981	101.594	5.955	13.06	19.6	1	5.102040816	3.00952381	19.1	13.23560209	0.576797774	355.1	10	4	18.49131482	20.69964942	20.74454848	44.10093309
37	87.978	123.942	186.846	0.249	7.188	8.3	0.9	10.84337349	2.495238095	9.6	21.83333333	8.055141333	256.8	12	5	17.43061347	19.67457441	23.42142099	43.72301709
38	107.083	110.913	177.17	0.454	5.742	8.5	0.9	10.58823529	2.464285714	9.4	22.0212766	1.119062321	57.1	14	1	15.10907768	18.14232963	15.26841478	13.02347415
39	108.784	105.687	212.925	0.855	10.646	16.4	1.1	6.707317073	2.566666667	16.9	12.75739645	6.530377589	48.2	32	1	14.03840586	15.2848769	17.28895937	13.25112305
40	114.366	87.32	176.314	0.617	4.875	8.9	1	11.23595506	2.45952381	10	20.66	35.41336678	48.7	8	3	16.90153327	15.54464535	15.541702	11.21004841
41	110.82	50.895	148.879	0.098	2.41	4.8	1	20.83333333	2.25	5.3	35.66037736	1.915221513	86.4	21	4	18.26942793	21.29074413	18.06938272	58.66707687
42	102.643	97.475	133.617	0.268	4.237	7.1	0.8	11.26760563	2.41547619	7.7	26.35064935	4.504796888	49.2	13	1	15.7447168	18.55359419	17.92898677	16.27964029
43	140.966	61.6	169.776	0.5	6.69	9.5	0.9	9.473684211	2.442857143	9.9	20.72727273	1.869959428	58.9	10	1	17.98779187	18.78252697	17.53175442	6.839208986
44	117.654	60.402	155.655	0.561	4.04	9.7	0.9	9.278350515	2.475	12.1	17.18181818	2.407223004	109.4	20	2	14.26298311	18.95545032	18.58231961	41.45993517
45	132.577	61.064	151.994	0.452	7.064	8.1	0.9	11.11111111	2.247619048	8.7	21.70114943	2.808881001	56.9	15	1	13.68122426	17.17225779	18.35190495	112.8128676
46	175.263	67.346	177.764	0.1026	10.599	16	1	6.25	2.833333333	16.4	14.51219512	37.73132451	145.6	60	1	10.27405486	15.19315241	16.86183056	28.93027382
47	89.51	43.119	90.753	0.207	0.088	4.3	1	23.25581395											
48	105.193	49.627	146.241	0.343	6.79	9.4	0.8	8.510638298	2.96547619	10.7	23.28037383	2.620495819	73.5	17	1	20.98928386	20.61493079	19.17314834	157.2709387